id,comName,sciName,howMany,locName,locId,lat,lng,obsDt
URN:CornellLabOfOrnithology:EBIRD:OBS2230115535,Barn Swallow,Hirundo rustica,60,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2248259977,Black-headed Gull,Chroicocephalus ridibundus,2,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2248259975,Western House-Martin,Delichon urbicum,70,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115525,Common Swift,Apus apus,7,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115531,Common Wood-Pigeon,Columba palumbus,6,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115527,European Bee-eater,Merops apiaster,1,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230828332,European Bee-eater,Merops apiaster,3,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2227869789,European Bee-eater,Merops apiaster,3,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115529,Eurasian Collared-Dove,Streptopelia decaocto,2,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115530,European Goldfinch,Carduelis carduelis,6,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115534,European Greenfinch,Chloris chloris,2,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115539,Eurasian Kestrel,Falco tinnunculus,1,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230828329,Eurasian Linnet,Linaria cannabina,2,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2227869786,Eurasian Linnet,Linaria cannabina,2,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115532,Common Reed Warbler,Acrocephalus scirpaceus,1,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115536,Eurasian Thick-knee,Burhinus oedicnemus,1,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2227869787,Greater Flamingo,Phoenicopterus roseus,3,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230828330,Greater Flamingo,Phoenicopterus roseus,3,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115533,Gull-billed Tern,Gelochelidon nilotica,8,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115526,House Sparrow,Passer domesticus,7,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115523,Montagu's Harrier,Circus pygargus,4,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115528,Red-rumped Swallow,Cecropis daurica,4,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115537,Sardinian Warbler,Curruca melanocephala,4,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115538,European Stonechat,Saxicola rubicola,5,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230115524,Western Marsh Harrier,Circus aeruginosus,1,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2248259976,Yellow-legged Gull,Larus michahellis,1,Pink Lake Viewpoint,L18511688,38.0193592,-0.7402039,09/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2228106641,Black-headed Gull,Chroicocephalus ridibundus,1,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230828323,Black-headed Gull,Chroicocephalus ridibundus,1,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230828322,Black-winged Stilt,Himantopus himantopus,3,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2228106640,Black-winged Stilt,Himantopus himantopus,3,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230828327,Eurasian Thick-knee,Burhinus oedicnemus,1,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2228106645,Eurasian Thick-knee,Burhinus oedicnemus,1,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2230828326,Eurasian Hoopoe,Upupa epops,1,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2228106644,Eurasian Hoopoe,Upupa epops,1,Urb. Lago Sol,L18638571,37.9664917,-0.7300472,08/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875876,Audouin's Gull,Ichthyaetus audouinii,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875868,Bank Swallow,Riparia riparia,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285795,Barn Swallow,Hirundo rustica,4,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875875,Black-headed Gull,Chroicocephalus ridibundus,10,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875864,Black-winged Stilt,Himantopus himantopus,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285784,Black-winged Stilt,Himantopus himantopus,6,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285812,Cetti's Warbler,Cettia cetti,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285794,Western House-Martin,Delichon urbicum,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875871,Western House-Martin,Delichon urbicum,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875865,Common Shelduck,Tadorna tadorna,14,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285792,Common Shelduck,Tadorna tadorna,13,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285802,Common Swift,Apus apus,10,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875880,Common Swift,Apus apus,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875882,Common Tern,Sterna hirundo,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285780,Common Wood-Pigeon,Columba palumbus,35,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875870,Common Wood-Pigeon,Columba palumbus,6,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285801,Crested Lark,Galerida cristata,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285783,Eared Grebe,Podiceps nigricollis,6,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285800,Eurasian Collared-Dove,Streptopelia decaocto,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875878,Eurasian Collared-Dove,Streptopelia decaocto,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285788,Eurasian Blackbird,Turdus merula,6,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875872,European Goldfinch,Carduelis carduelis,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285789,European Goldfinch,Carduelis carduelis,4,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285781,Eurasian Kestrel,Falco tinnunculus,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875883,Eurasian Kestrel,Falco tinnunculus,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285786,European Turtle-Dove,Streptopelia turtur,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285790,Eurasian Thick-knee,Burhinus oedicnemus,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285777,Greater Flamingo,Phoenicopterus roseus,14,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875866,Greater Flamingo,Phoenicopterus roseus,18,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285787,Great Tit,Parus major,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285805,Iberian Green Woodpecker,Picus sharpei,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285807,Eurasian Hoopoe,Upupa epops,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285778,House Sparrow,Passer domesticus,6,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285782,Iberian Gray Shrike,Lanius meridionalis,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285779,Kentish Plover,Anarhynchus alexandrinus,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285806,Little Owl,Athene noctua,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285811,Little Tern,Sternula albifrons,6,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875874,Mallard,Anas platyrhynchos,7,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285797,Mediterranean Gull,Ichthyaetus melanocephalus,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875873,Mediterranean Gull,Ichthyaetus melanocephalus,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285809,Mistle Thrush,Turdus viscivorus,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285799,Monk Parakeet,Myiopsitta monachus,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285808,Pallid Swift,Apus pallidus,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875881,Pied Avocet,Recurvirostra avosetta,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285810,Red-legged Partridge,Alectoris rufa,12,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875877,Rock Pigeon,Columba livia,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285803,Sandwich Tern,Thalasseus sandvicensis,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285798,Sardinian Warbler,Curruca melanocephala,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875867,Sardinian Warbler,Curruca melanocephala,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875879,Slender-billed Gull,Chroicocephalus genei,7,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285791,Slender-billed Gull,Chroicocephalus genei,100,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285804,Spotted Flycatcher,Muscicapa striata,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285796,White Wagtail,Motacilla alba,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285793,Yellow-legged Gull,Larus michahellis,10,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2270875869,Yellow-legged Gull,Larus michahellis,18,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,25/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2277285785,Zitting Cisticola,Cisticola juncidis,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,28/06/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972994,Audouin's Gull,Ichthyaetus audouinii,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985894,Audouin's Gull,Ichthyaetus audouinii,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972992,Black-bellied Plover,Pluvialis squatarola,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985892,Black-bellied Plover,Pluvialis squatarola,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972980,Black-winged Stilt,Himantopus himantopus,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985880,Black-winged Stilt,Himantopus himantopus,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972987,Common Shelduck,Tadorna tadorna,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985887,Common Shelduck,Tadorna tadorna,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350973007,Eared Grebe,Podiceps nigricollis,13,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985907,Eared Grebe,Podiceps nigricollis,13,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985910,Eurasian Kestrel,Falco tinnunculus,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350973010,Eurasian Kestrel,Falco tinnunculus,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985905,European Turtle-Dove,Streptopelia turtur,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350973005,European Turtle-Dove,Streptopelia turtur,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972978,Eurasian Thick-knee,Burhinus oedicnemus,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985878,Eurasian Thick-knee,Burhinus oedicnemus,5,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350973006,Great Tit,Parus major,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985906,Great Tit,Parus major,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985896,Iberian Gray Shrike,Lanius meridionalis,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972996,Iberian Gray Shrike,Lanius meridionalis,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350973009,Kentish Plover,Anarhynchus alexandrinus,12,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985909,Kentish Plover,Anarhynchus alexandrinus,12,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985877,Little Owl,Athene noctua,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972977,Little Owl,Athene noctua,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972981,Montagu's Harrier,Circus pygargus,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985881,Montagu's Harrier,Circus pygargus,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985902,Monk Parakeet,Myiopsitta monachus,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350973002,Monk Parakeet,Myiopsitta monachus,3,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985886,Red-legged Partridge,Alectoris rufa,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972986,Red-legged Partridge,Alectoris rufa,1,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350972998,Red-rumped Swallow,Cecropis daurica,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985898,Red-rumped Swallow,Cecropis daurica,2,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2350985884,Whimbrel,Numenius phaeopus,10,Lagunas de la Mata y Torrevieja PNat--Area General,L3906629,38.0238218,-0.6834269,29/07/2024
